18700;OSLO - BLINDERN;Jan/31;;94;59,9423;10,72;Oslo;Oslo;SOUTHEASTERN NORWAY
St.no;Date;Mean temperature;Minimum temperature;Maximum temperature;Precipitation;Snow depth;Snow cover;Precipitation type;
18700;0,27400463;2,6;0,4;4;1,7;0;0; ;
18700;0,315671296;6,6;1,8;7,4;7,3;0;0; ;
18700;0,357337963;4,9;3,8;6,3;0,3;0;0; ;
18700;0,39900463;1,4;0,7;3,9;0,8;0;0; ;
18700;0,440671296;0,3;-0,7;1,8;0;0;0; ;
18700;0,482337963;-3,2;-5,1;0,2;1,4;2;4; ;
18700;0,52400463;-8,6;-11,4;-5,1;0,9;3;4; ;
18700;0,565671296;-10,8;-13,5;-9,9;0;3;4; ;
18700;0,607337963;-6,5;-10;-5,8;3,4;6;4; ;
18700;0,64900463;-5,6;-5,9;-5,3;0,4;6;4; ;
18700;0,690671296;-4,5;-5,9;-3,5;4,4;9;4; ;
18700;0,732337963;-5,8;-7,2;-4,2;3,8;13;4; ;
18700;0,77400463;-6;-7,5;-5,4;3,8;17;4; ;
18700;0,815671296;-4,8;-5,8;-4;0,2;15;4; ;
18700;0,857337963;-4,8;-5,5;-4,1;0;14;4; ;
18700;0,89900463;-5,7;-6,6;-4,9;0;13;4; ;
18700;0,940671296;-7,8;-9,6;-6,6;0;13;4; ;
18700;0,982337963;-7,1;-8,2;-5,9;0,3;14;4; ;
18700;24.01.2014;-6,4;-8,5;-5,5;0,4;15;4; ;
18700;25.01.2014;-5,3;-7;-4,2;0,2;15;4; ;
18700;26.01.2014;-6,1;-6,9;-4,3;0;13;4; ;
18700;27.01.2014;-3,4;-6,8;-2,1;2,7;22;4; ;
18700;28.01.2014;-1,3;-2,6;-0,7;6,5;27;4; ;
18700;29.01.2014;-3,2;-4,2;-0,7;2,1;27;4; ;
18700;30.01.2014;-5,3;-6,7;-4,2;2,5;31;4; ;
18700;31.01.2014;-4;-4,8;-3,4;2,9;29;4; ;
18700;0,066365741;-3,4;-5;-2,4;0,8;26;4; ;
18700;0,108032407;1,8;-2,4;2,4;3;24;4; ;
18700;0,149699074;2,6;1,8;4,6;1,6;18;4; ;
18700;0,191365741;1,3;0,7;2,2;0,2;14;4; ;
18700;0,233032407;0,4;0,1;0,9;1,4;11;4; ;
18700;0,274699074;0,3;-0,6;0,9;1,5;12;4; ;
18700;0,316365741;1,9;0,8;3,1;5,6;11;4; ;
18700;0,358032407;1,1;0;2,8;12,5;10;4; ;
18700;0,399699074;2,5;0,5;3,4;7,6;8;3; ;
18700;0,441365741;3,1;0,8;4,3;13,5;7;3; ;
18700;0,483032407;2,1;0,4;3,3;0;6;3; ;
18700;0,524699074;2,1;1,1;3,5;3,3;4;3; ;
18700;0,566365741;1,4;0,3;2,4;4,4;3;3; ;
18700;0,608032407;2,6;0,8;3,1;11,8;3;4; ;
18700;0,649699074;2,7;0,4;3,9;1,5;2;1; ;
18700;0,691365741;3,1;2,8;4,5;25,7;2;1; ;
18700;0,733032407;1,6;-1,4;7,6;3,3;2;1; ;
18700;0,774699074;-1;-3,7;3,6;0;0;1; ;
18700;0,816365741;-0,7;-1,2;0,2;0;0;1; ;
18700;0,858032407;-1;-2,6;0;1,4;2;4; ;
18700;0,899699074;0,8;-0,8;1,9;12,7;10;4; ;
18700;0,941365741;2,9;0,8;4,4;3,9;5;4; ;
18700;0,983032407;4,3;2,1;5,4;0,3;2;3; ;
18700;24.02.2014;5,4;4,5;6,7;0;1;3; ;
18700;25.02.2014;4,7;4,2;6;0,1;1;1; ;
18700;26.02.2014;2,5;1,1;4,6;2,2;0;1; ;
18700;27.02.2014;3,9;3;4,9;10;0;0; ;
18700;28.02.2014;2,8;1,5;4,3;1,5;0;0; ;
18700;0,067060185;2;1,2;2,9;7,9;0;0; ;
